Company,Company Score,Job Title,Location,Salary,Converted_Salary,In_GA
STASIS DRILLING SOLUTIONS,3.4,Quality Control Intern,"Toledo, OH",$20.00 Per Hour (Employer est.),20,No
Ervin Cable,3.7,Engineering Intern,"Houston, TX",$71K - $108K (Glassdoor est.),71,No
Discover Financial Services,4,Intern,"Sturgis, KY",$57K - $98K (Glassdoor est.),57,No
EO of Energy and Env Affairs,4.5,Emerging Talent Digital Sourcing Lead,"Chicago, IL",$30.00 - $50.00 Per Hour (Employer est.),30,No
Juno Tech Corp,4.1,Environmental Justice Intern,"Boston, MA",$38K - $55K (Glassdoor est.),38,No
Radiant Digital,3.8,TikTok E-Commerce Account Operations Intern,"New York, NY",$18.00 Per Hour (Employer est.),18,No
State of Arizona,4.4,Research intern with public policy education,"Vienna, VA",$17.00 Per Hour (Employer est.),17,No
ENGIE North America Inc.,3.6,Demand Analysis Intern,"Phoenix, AZ",$51K - $72K (Glassdoor est.),51,No
"UTZ Brands, Inc",3.2,"Intern, Customer Analytics & Strategy Engagement","Houston, TX",$48K - $68K (Glassdoor est.),48,No
NJEDA,4,Supply Chain Internship: Part Time: Fall Semester,"Hanover, PA",$55K - $69K (Glassdoor est.),55,No
Living Cities,4.2,Fall Film Intern,"Newark, NJ",$20.00 - $60.00 Per Hour (Employer est.),20,No
"Pact, Inc.",4.4,Fall 2024 Internship Program,"York, WA",$44.00 - $57.00 Per Hour (Employer est.),44,No
Simon-Kucher & Partners,3.9,CSM-STAND Intern,"Washington, DC",$15.63 - $19.00 Per Hour (Employer est.),15,No
MacLean-Fogg,3.6,[UG/MS] Summer 2025 Intern/Associate Consultant - Healthcare & Life Sciences Division,"Boston, NY",$61K - $87K (Glassdoor est.),61,No
GE Vernova Strategy & Innovation,3.8,Digital Adoption Intern,"Mundelein, IL",$61K - $106K (Glassdoor est.),61,No
RippleMatch Opportunities,4.2,GE Vernova Advanced Research - 2025 Edison Program Internship,"Niskayuna, NY",$40K (Employer est.),40,No
"Terracon Consultants, Inc.",4,"Vertex Pharmaceuticals - Vertex 2024 Fall Co-op, Technical Operations, application via RippleMatch","Boston, MA",$38K - $65K (Glassdoor est.),38,No
Eskenazi Health,3.3,Engineering Intern,"Williamsburg, VA",$18.00 Per Hour (Employer est.),18,No
"MCA, Inc",4,FOOD & CONSUMER SAFETY INTERN,"Indianapolis, IN",$18.00 Per Hour (Employer est.),18,No
"Northrock Partners, LLC",3.8,Business Operations Analyst - Internship,"Grand Blanc, MI",$50K - $86K (Glassdoor est.),50,No
Salas O'Brien,3.8,"Intern, Operations (Fall 2024)","Minneapolis, MN",$15.00 Per Hour (Employer est.),15,No
TimkenSteel.,3.9,"2024-2025 Fall Internship, Co-Op College Career Opportunities",United States,$31.73 Per Hour (Employer est.),31,No
Dolby,4.3,Supply Chain Planning Intern,"Canton, OH",$98K - $182K (Glassdoor est.),98,No
Wells Fargo,4,"Research Intern, AI Quality (Fall 24)","Sunnyvale, CA",$118K - $145K (Employer est.),11,No
FloSports,3.4,2025 Summer Internship Quantitative Analytics Program (Master's) - Early Careers,"Charlotte, NC",$38K - $52K (Glassdoor est.),38,No
LGI Branding LLC,5,Fall Internship - Events Coordinator,"Austin, TX",$15.06 Per Hour (Employer est.),15,No
GID Investment Advisers LLC,4.7,Research Intern,"Tulsa, OK",$35K - $58K (Glassdoor est.),35,No
FC Dallas,2.8,"Summer 2025 Real Estate Internship - Dallas, TX","Dallas, TX",$55K - $89K (Glassdoor est.),55,No
Community Counseling Centers Of Chicago,3.5,Scouting Intern 2024 Season,"Frisco, TX",$37K - $55K (Glassdoor est.),37,No
Infrastructure Consulting & Engineering,4.3,Development Intern,"Chicago, IL",$19.25 Per Hour (Employer est.),19,No
Boston Public Health Commission,3.2,Roadway Engineer Intern,"Norcross, GA",$83K - $117K (Glassdoor est.),83,Yes
ZF,4,Learning and Evaluation Implementation Internship,"Boston, MA",$49K - $79K (Glassdoor est.),49,No
Rapsodo,3.8,Maintenance Intern,"Marysville, MI",$16.00 - $46.00 Per Hour (Employer est.),16,No
Playfly Sports,4.2,"Customer Experience Intern, Diamond Sports","Saint Louis, MO",$16.28 Per Hour (Employer est.),16,No
Perfetti Van Melle,3.7,Gameday/ Property Intern (UCF Sports Property),Florida,$60K (Employer est.),60,No
Walmart,3.5,Research and Development Process Intern,"Erlanger, KY",$19.00 - $22.00 Per Hour (Employer est.),19,No
Princeton University,5,2025 Summer Undergraduate Intern: Walmart Merchandising,"Bentonville, AR",$54K - $86K (Glassdoor est.),54,No
Worthington Enterprises,2.9,Next Generation Internship Coordinator - Temporary,"Princeton, NJ",$30.00 - $50.00 Per Hour (Employer est.),30,No
Alameda County Water District,3.1,Internal Audit Intern,"Columbus, OH",$62K - $88K (Glassdoor est.),62,No
Schneider Electric,3.8,Water Production Intern,"Fremont, CA",$37K - $81K (Employer est.),37,No
STERIS,3.8,Logistics Engineer CO-OP (Spring 2025),"Mechanicsburg, PA",$94K - $155K (Glassdoor est.),94,No
TikTok,4.1,"Health, Safety, and Environmental Intern","Mentor, OH",$50K - $76K (Glassdoor est.),50,No
Meher Trailer Products PTY LTD,2.7,QA Engineer Intern (TikTok Growth) - 2025 Summer (BS/MS),"San Jose, CA",$37K - $58K (Glassdoor est.),37,No
"Amkor Technology, Inc.",3.9,Finance ERP Intern,"Rolling Meadows, IL",$53K - $73K (Glassdoor est.),53,No
RippleMatch Opportunities,3.7,"Intern, Product Engineer","Tempe, AZ",$17.00 Per Hour (Employer est.),17,No
AltCap,3.9,"GSK - Fall Co-op / CIVM-Biology, application via RippleMatch","Providence, Delaware, PA",$20.00 - $25.00 Per Hour (Employer est.),20,No
"CTL Aerospace, Inc.",3.7,Communications Team Intern,"Kansas City, MO",$17.00 - $30.00 Per Hour (Employer est.),17,No
Black Hills Federal Credit Union,3.6,Quality Control Engineering Intern,"Cincinnati, OH",$55.00 Per Hour (Employer est.),55,No
Bank of America,3.2,College Marketing Intern,"Rapid City, SD",$36K - $62K (Glassdoor est.),36,No
InnoPhase IoT,4.1,Strategy & Management Summer Associate Program - 2025,"Boston, MA",$17.50 Per Hour (Employer est.),17,No
Regis College,4,Product Test Engineer – Summer Internship,"San Diego, CA",$87K - $140K (Glassdoor est.),87,No
Global Refuge,3.6,Graduate Intern for LGBTQ+ Initiatives,"Weston, MA",$21.00 Per Hour (Employer est.),21,No
Bank of China,4,Children and Family Services Macro Intern,"Detroit, MI",$16.98 Per Hour (Employer est.),16,No
KeyBank,3.2,CRM Credit Analyst I Intern,United States,$20.00 - $25.00 Per Hour (Employer est.),20,No
RippleMatch Opportunities,3.5,2025 Summer Risk Management Internship Program - Cleveland,"Cleveland, OH",$44K - $57K (Glassdoor est.),44,No
BlueScope Coated Products,3.5,"Apex Fintech Solutions - Procurement Analytics Intern, application via RippleMatch","Chicago, IL",$23.00 Per Hour (Employer est.),23,No
"Alan B. Lancz and Associates, Inc.",4.1,Engineer Intern,"Marietta, GA",$59K (Employer est.),59,Yes
Eutelsat,4.2,Financial Internships,"Toledo, OH",$12.00 - $14.00 Per Hour (Employer est.),12,No
Four Roses Distillery LLC,4.1,Career Opportunities: Monitoring Engineer (internship) (5267),Idaho,$42K - $76K (Glassdoor est.),42,No
The City of Fort Worth,4,Quality Engineer Intern - Cox's Creek,"Coxs Creek, KY",$38K - $64K (Glassdoor est.),38,No
Trinity Global Institute,2.8,Intern - Budget Fellowship,"Fort Worth, TX",$17.89 Per Hour (Employer est.),17,No
Michigan State Athletics,3.7,Paid Marketing Intern,"Orlando, FL",$103K - $184K (Glassdoor est.),10,No
Schneider Electric,3.3,Student Engagement Post-Grad Internship – Marketing and Fan Engagement,"East Lansing, MI",$31K - $42K (Glassdoor est.),31,No
AFM - American Flowform and Machining,4.1,Manufacturing Engineering Internship: Fall 2024,"Lexington, KY",$60K - $94K (Glassdoor est.),60,No
Smith System Manufacturing,3.6,Internship - Supply Chain,"Billerica, MA",$25.00 - $30.00 Per Hour (Employer est.),25,No
Dolby,3.8,Manufacturing Engineering Intern,United States,$17.20 - $19.20 Per Hour (Employer est.),17,No
pSemi,2.9,PhD Multimodal AI Intern,"San Francisco, CA",$5K - $6K (Employer est.),5K,No
Dexter Axle,3.3,"Intern, Characterization Process Technology - Summer 2024",United States,$28.85 Per Hour (Employer est.),28,No
BCC Engineering,3.9,Finance Internship,,$17.20 - $19.20 Per Hour (Employer est.),17,No
Albany International Corp.,4,Roadway Intern,"Miami, FL",$89K - $129K (Glassdoor est.),89,No
Lawrence Livermore National Laboratory,3.8,Product Development Intern - R&D,"Saint Stephen, SC",$32K - $50K (Glassdoor est.),32,No
First Horizon Group,3.9,Materials Engineering Division Undergraduate Intern - Fall 2024,"Livermore, CA",$16.00 Per Hour (Employer est.),16,No
Recovery Resources,1,Sales Representative,"Seattle, WA",$18.00 - $28.00 Per Hour (Employer est.),18,No
Babcock & Wilcox,4,Prevention Specialist Intern,"Cleveland, OH",$28.85 Per Hour (Employer est.),28,No
Paytique Financial,3.6,Generative AI Imaging Creation Intern,"Akron, OH",$43K - $63K (Glassdoor est.),43,No
Digital Plus Solutions,3.7,Marketing and Business Development Intern,"Brooklyn, NY",$59K - $93K (Glassdoor est.),59,No
Schneider Electric,4.1,Digital Marketing Intern,"Kansas City, MO",$49K - $80K (Glassdoor est.),49,No
Worthington Steel,3.5,"Safety, Health & Environment Intern: Fall 2024","Chino, CA",$20.94 - $26.65 Per Hour (Employer est.),20,No
GE Vernova Leadership Programs,4,Electrical Controls Engineer Intern - TWB Monroe,"Monroe, MI",$59K - $92K (Glassdoor est.),59,No
EMD Electronics,4,GE Vernova Digital Technology Internship - Summer 2025,"Schenectady, NY",$18.00 - $20.00 Per Hour (Employer est.),18,No
Continental,4,Regulatory Safety Co-op,"Branchburg, NJ",$53K - $95K (Glassdoor est.),53,No
University of Florida,4.3,"Intern - Logistics Analyst, Year-Round","Fort Mill, SC",$21.00 - $29.50 Per Hour (Employer est.),21,No
GE Aviation,3.6,Smathers Undergraduate Internship in Collections,"Gainesville, FL",$18.00 - $25.00 Per Hour (Employer est.),18,Yes
Western & Southern Financial Group,3.5,GE Aerospace Engineering Engines Computer or Software Engineering Intern - Fall 2025,"Evendale, OH",$18.00 - $22.00 Per Hour (Employer est.),18,No
Occams Group,3.9,College Intern - Actuary,"Cincinnati, OH",$17.20 - $19.20 Per Hour (Employer est.),17,No
Nashville Soccer Club,3.4,"Entry Level, Paid Internship: Recruitment, Commercial Accounts","Columbia, MD",$84K - $124K (Glassdoor est.),84,No
Tetra Tech,3.4,Sports Science Intern (Fall 2024)- College Credit Only,"Nashville, TN",$52K (Employer est.),52,No
Landis Gyr,4,Financial Management Team Intern,"Arlington, VA",$100K - $125K (Employer est.),10,No
University of Massachusetts Office of the President,3.9,Product Internship - E-Mobility,"Alpharetta, GA",$55K - $75K (Glassdoor est.),55,Yes
Kimley-Horn,3.1,Intern – Institutional Research,"Boston, MA",$12.00 - $15.00 Per Hour (Employer est.),12,No
Camellia Collective Company,3.8,D&I Intern,,$61K - $108K (Glassdoor est.),61,No
Dolby,3.8,"Summer 2025 Mars Petcare Supply Chain Transportation Operations Center Internship - Franklin, TN","Franklin, TN",$15.00 Per Hour (Employer est.),15,No
Stand Together,3.2,Multimodal Perception Science Intern (Fall 24),"San Francisco, CA",$31.40 Per Hour (Employer est.),31,No
Advent Prestige Care,3.4,KIP Fall 2024 - Intern - The Cato Institute,"Arlington, VA",$20.00 - $21.00 Per Hour (Employer est.),20,No
PowerMarket,3.7,Mental Health Therapist,"Fort Pierce, FL",$54K - $85K (Glassdoor est.),54,No
RELQ TECHNOLOGIES LLC,3.8,Community Solar Operations Intern,"New York, NY",$16.00 - $46.00 Per Hour (Employer est.),16,No
IDEA Public Schools,3.7,Data Architect,Florida,$4K - $6K (Employer est.),4K,No
BlocPower,3.9,Intern - Technology Operations (Immediate Opening),"Weslaco, TX",$15.00 Per Hour (Employer est.),15,No
Weber State University,4,Clean Energy Intern,"Ithaca, NY",$17.00 Per Hour (Employer est.),17,No
Mayor's Office of Contract Services,4.2,MARS Intern,"Ogden, UT",$21.00 - $28.00 Per Hour (Employer est.),21,No
Casey Peterson,3.2,Service Desk Operations Intern,United States,$21.00 Per Hour (Employer est.),21,No
Continental,4.4,INTERNS,United States,$35K - $45K (Employer est.),35,No
Alabama State University & ALDOT,3.5,Intern - eCommerce,"Fairlawn, OH",$56K - $83K (Glassdoor est.),56,No
New York City Housing Development Corporation,3.3,Paid Internship (IT),"Montgomery, AL",$56K - $81K (Glassdoor est.),56,No
Westminster University,2.9,Strategic Operations Intern,United States,$50K - $60K (Employer est.),50,No
"Graphic Packaging International, Inc.",3.5,GSLI Internship- Brine Fly Monitoring,"Salt Lake City, UT",$93K - $135K (Glassdoor est.),93,No
Cincy Grind,3.3,Engineering Intern IV,"West Monroe, LA",$78K - $116K (Glassdoor est.),78,No
Charlotte County Board of County Commissioners,3.5,Management Trainee,"Cincinnati, OH",$37K - $58K (Glassdoor est.),37,No
The MITRE Corporation,4.1,INTERNSHIPS-Charlotte County Engineering,"Punta Gorda, FL",$2K (Employer est.),2K,No
Community Resource Center,4.1,"Systems, Mechanical, or Aerospace Internships","Bedford, MA",$64K - $112K (Glassdoor est.),64,No
La Encantada Diversity Equity & Inclusion,3.5,Nonprofit Grant Research & Development Internship (August,"Denver, CO",$12.00 Per Hour (Employer est.),12,No
SRG Global,4.7,"Diversity, Equity, and Inclusion (DEI) / Employee Engagement Intern","McAllen, TX",$75K - $92K (Employer est.),75,No
Libbey,2.9,SRG Global Supply Chain Co-Op,"Newbern, TN",$58K - $94K (Glassdoor est.),58,No
Navy Federal Credit Union,3.3,Marketing Internship (Fall 2024),"Toledo, OH",$16.00 Per Hour (Employer est.),16,No
City of Greeley,3.6,Intern - Year Round (Lending Strategy and Operations),"Pensacola, FL",$14.00 - $27.00 Per Hour (Employer est.),14,No
Voith Group,3.3,Source Water Quality Intern II/III,"Greeley, CO",$22.68 - $26.56 Per Hour (Employer est.),22,No
KeyBank,3,HRIS Intern,"York, PA",$62K - $110K (Glassdoor est.),62,No
Bank of America,4.1,2025 Summer Marketing Internship Program - Cleveland,"Brooklyn, OH",$85K - $92K (Employer est.),85,No
"Natural Resources Defense Council, Inc.",4.2,Enterprise Credit Summer Analyst Program 2025 - Consumer Credit,"Phoenix, AZ",$21.00 Per Hour (Employer est.),21,No
Whimsy Stick,4,Fall E2 Diversity in Clean Energy Intern,"Washington, DC",$70K - $75K (Employer est.),70,No
Levy,3.6,Marketing Expert - Facebook Ads Management,"Manor, TX",$54K - $86K (Glassdoor est.),54,No
Align Social Impact,4.2,E-15 Internship- Indiana University,"Bloomington, IN",$20.00 - $21.00 Per Hour (Employer est.),20,No
Bank of China,3.9,Research & Partnerships Fellow,United States,$45K - $89K (Employer est.),45,No
"Geosyntec Consultants, Inc.",3.9,Internal Audit Department Advanced Analytics for Audit Intern,United States,$17.00 - $24.00 Per Hour (Employer est.),17,No
Columbus Zoo Family of Parks,3.5,Intern / Co-Op Environmental Science/Engineering,"Worthington, OH",$52K - $77K (Glassdoor est.),52,No
Berkley,4,Ecology Apprenticeship at The Wilds,"Cumberland, OH",$16.00 Per Hour (Employer est.),16,No
Johnson Controls International,4.3,Communications Coordinator,"Manassas, VA",$23.00 Per Hour (Employer est.),23,No
Greenwich Commodities LLC,4.2,Continuous Improvement Analyst Intern,"Baltimore, MD",$16.00 Per Hour (Employer est.),16,No
